"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
3.270000,1.004068,0.802615,221.550881,690.625438
3.280000,1.004956,0.801563,219.565337,690.934084
3.290000,1.005869,0.800483,217.557204,691.233655
3.300000,1.006805,0.799372,215.528641,691.520622
3.310000,1.007762,0.798229,213.481875,691.791503
3.320000,1.008740,0.797053,211.419236,692.042887
3.330000,1.009737,0.795842,209.343149,692.271529
3.340000,1.010752,0.794595,207.256096,692.474275
3.350000,1.011784,0.793312,205.160464,692.648011
3.360000,1.012829,0.791990,203.058605,692.789728
3.370000,1.013889,0.790629,200.952892,692.896580
3.380000,1.014959,0.789228,198.845752,692.965904
3.390000,1.016040,0.787787,196.739675,692.995235
3.400000,1.017130,0.786306,194.637168,692.982271
3.410000,1.018227,0.784783,192.540669,692.924874
3.420000,1.019329,0.783219,190.452517,692.821144
3.430000,1.020435,0.781614,188.375012,692.669383
3.440000,1.021544,0.779968,186.310424,692.468141
3.450000,1.022653,0.778282,184.261007,692.216236
3.460000,1.023761,0.776557,182.229008,691.912772
3.470000,1.024867,0.774793,180.216689,691.557134
3.480000,1.025968,0.772992,178.226492,691.148876
3.490000,1.027065,0.771155,176.260873,690.687755
3.500000,1.028154,0.769285,174.321995,690.173886
3.510000,1.029235,0.767381,172.411706,689.607819
3.520000,1.030306,0.765448,170.531791,688.990483
3.530000,1.031366,0.763487,168.684034,688.322955
3.540000,1.032413,0.761501,166.870007,687.606563
3.550000,1.033447,0.759493,165.091370,686.842849
3.560000,1.034465,0.757465,163.349609,686.034039
3.570000,1.035467,0.755421,161.645804,685.182387
3.580000,1.036450,0.753365,159.981031,684.290348
3.590000,1.037415,0.751300,158.356805,683.360907
3.600000,1.038360,0.749231,156.774830,682.397422
3.610000,1.039285,0.747162,155.236506,681.403300
3.620000,1.040188,0.745097,153.742980,680.382203
3.630000,1.041069,0.743039,152.295288,679.338016
3.640000,1.041928,0.740995,150.894376,678.274819
3.650000,1.042763,0.738968,149.541136,677.196851
3.660000,1.043573,0.736964,148.236402,676.108497
3.670000,1.044360,0.734987,146.980941,675.014268
3.680000,1.045121,0.733041,145.775504,673.918760
3.690000,1.045856,0.731133,144.620855,672.826601
3.700000,1.046566,0.729266,143.517652,671.742502
3.710000,1.047249,0.727446,142.466404,670.671281
3.720000,1.047906,0.725678,141.467689,669.617724
3.730000,1.048536,0.723966,140.522232,668.586465
3.740000,1.049139,0.722316,139.630563,667.582200
3.750000,1.049714,0.720731,138.792973,666.609716
3.760000,1.050263,0.719217,138.009668,665.673808
3.770000,1.050783,0.717778,137.280940,664.779140
