Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
g2,Active Power,Tau 1,1.0475796817990581,-0.7187719852564979,3.123974237447779,-0.12375048556987976
g2,Active Power,Tau 1,0.5418669335898185,-0.12198030349247917,1.479810785780875,-0.25691412435377453
g2,Active Power,Tau 0.1,1.0574425207798712,-0.7610836643622216,3.2898912363881823,-0.21061772656016794
g2,Active Power,Tau 0.1,0.5429867864930004,-0.12242900744836517,1.4834420093961325,-0.31622455239399494
g2,Active Power,Tau 0.01,1.0585218400591658,-0.7735012160387081,3.343712704160522,-0.2206662126976547
g2,Active Power,Tau 0.01,0.5431140894292439,-0.1233559491098685,1.4947673304630509,-0.32273306882679803
g2,Reactive Power,Order 2,0.5428109671561581,-0.12603324245073602,6.569199491784495,-0.9079825534651289
g2,Reactive Power,Order 4,0.5428773707692214,-0.12642278540037155,6.588170148217446,-0.9107779115991724
g2,Reactive Power,Order 4,0.010970991215203939,-0.004867009330183221,0.09984249320572933,2.4507439850271178
g2,Reactive Power,Order 6,0.5430270851567003,-0.12562390488243455,6.547289083975768,-0.9185326142158599
g2,Reactive Power,Order 6,1.078928584471362,-0.6636246479995939,0.35119360251515963,-1.5410397948795573
g2,Reactive Power,Order 6,0.009333934484882409,-0.0023529133913701905,0.1009830824822409,2.766667786264229
g2,Reactive Power,Tau 1,0.5428109671561581,-0.12603324245073602,6.569199491784495,-0.9079825534651289
g2,Reactive Power,Tau 0.1,0.5428938656339041,-0.12660240640639792,6.596577569041093,-0.9115784538759374
g2,Reactive Power,Tau 0.01,0.5428773707692214,-0.12642278540037155,6.588170148217446,-0.9107779115991724
g2,Reactive Power,Tau 0.01,0.010970991215203939,-0.004867009330183221,0.09984249320572933,2.4507439850271178
g3,Voltage,Order 2,0.5417436514103247,-0.12557124132572922,0.0007464599321462107,1.4957089860800072
g3,Voltage,Order 4,0.5432313159319984,-0.11972080846596725,0.000712054260013615,1.4282646494270803
g3,Voltage,Order 6,0.5426191485444918,-0.12977910695408174,0.0007721162904030721,1.4543644119714751
g3,Voltage,Order 6,1.0164976084782462,-1.0680233568837811,0.0002470128537361832,2.8775386580729063
g3,Voltage,Order 6,0.02382194254431325,-0.2004157458091659,0.00011630939932374538,-1.5471679041306041
g3,Voltage,Tau 1,0.5417436514103247,-0.12557124132572922,0.0007464599321462107,1.4957089860800072
g3,Voltage,Tau 0.1,0.5429015817830694,-0.12590312417146624,0.0007474311126453606,1.4402324197593437
g3,Voltage,Tau 0.1,1.0359097099294867,-0.7089779855768853,0.00015934319818708872,2.9771436355492167
g3,Voltage,Tau 0.01,0.5429976197045919,-0.1262114198949737,0.0007496777702199781,1.4351677773540863
g3,Voltage,Tau 0.01,1.0971473678764905,-0.7183337141240592,0.00020894353918714934,3.0571390904248408
g3,Voltage,Tau 0.01,1.08554864495442,-0.2592247801733371,5.7521854477473295e-05,0.7120067210520368
g3,Current,Order 2,0.5436172518749236,-0.12719393800765738,0.010934479911086792,2.0807282966066944
g3,Current,Order 4,0.5437838058318134,-0.13728015645079414,0.011529612997286639,2.0746180006207973
g3,Current,Order 6,0.5430268748300792,-0.1266146593694395,0.010869359821504871,2.1083536950097757
g3,Current,Order 6,1.0876737947515367,-0.7274831929521685,0.0028995948607933022,-0.11335988416371451
g3,Current,Order 6,0.006138942749322117,-4.4051453784364606e-05,0.00019927711390018088,0.28701597261949957
g3,Current,Tau 1,0.5436172518749236,-0.12719393800765738,0.010934479911086792,2.0807282966066944
g3,Current,Tau 0.1,0.5430509493914991,-0.12646095354728515,0.010847472336846587,2.106275523706791
g3,Current,Tau 0.1,1.068336595890975,-0.7205808487868407,0.0028986212676298767,-0.016078651202499624
g3,Current,Tau 0.01,0.5430268748300792,-0.1266146593694395,0.010869359821504871,2.1083536950097757
g3,Current,Tau 0.01,1.0876737947515367,-0.7274831929521685,0.0028995948607933022,-0.11335988416371451
g3,Current,Tau 0.01,0.006138942749322117,-4.4051453784364606e-05,0.00019927711390018088,0.28701597261949957
g3,Active Power,Order 2,0.543470521010236,-0.12761867891785322,10.740529141780693,2.055288536655387
g3,Active Power,Order 4,0.5435895752823643,-0.13641635413799,11.234077289640487,2.0506716305337687
g3,Active Power,Order 6,0.5430338104664423,-0.12688570096085913,10.666161695244352,2.0756273496489612
