Gen,Signal,Method,R2,RMSE,Poles
g8,Voltage,Tau 0.1,0.9812374085848344,5.3158909217851485e-06,3
g8,Voltage,Tau 0.01,0.7419287345740715,1.9715122323121437e-05,4
g8,Current,Order 2,0.8535883647440199,5.103354356859369e-05,1
g8,Current,Order 4,0.8536760678124328,5.1018256297107904e-05,2
g8,Current,Order 6,-0.33713385922642347,0.00015422521082100938,2
g8,Current,Tau 1,0.8515677614670027,5.1384489716645844e-05,1
g8,Current,Tau 0.1,0.9162781002529329,3.8591127439611486e-05,3
g8,Current,Tau 0.01,0.9095369074772262,4.011470885910775e-05,4
g8,Active Power,Order 2,0.8969190396197584,0.03571858597560184,1
g8,Active Power,Order 4,0.9291563890138882,0.029611156831775252,2
g8,Active Power,Order 6,-0.4279099243066351,0.13293992692509013,2
g8,Active Power,Tau 1,0.8653476422620819,0.04082366681361611,2
g8,Active Power,Tau 0.1,0.8653476422620819,0.04082366681361611,2
g8,Active Power,Tau 0.01,-1.2645685306564558,0.16741630929038667,4
g8,Reactive Power,Order 2,0.8670325249153814,0.03399762467454007,1
g8,Reactive Power,Order 4,0.980008293926159,0.013182591458103292,2
g8,Reactive Power,Order 6,0.9966228982703829,0.0054181114687123855,3
g8,Reactive Power,Tau 1,0.8670325249153814,0.03399762467454007,1
g8,Reactive Power,Tau 0.1,0.980008293926159,0.013182591458103292,2
g8,Reactive Power,Tau 0.01,0.742820767524948,0.047281779357164065,4
g9,Voltage,Order 2,0.7247442586624755,2.0474128881180848e-05,1
g9,Voltage,Order 4,0.8019727586288087,1.7365996468795093e-05,2
g9,Voltage,Order 6,0.9896090163920235,3.978007242288411e-06,3
g9,Voltage,Tau 1,0.7247442586624755,2.0474128881180848e-05,1
g9,Voltage,Tau 0.1,0.8694437502462291,1.4100550646810515e-05,4
g9,Voltage,Tau 0.01,0.9001270674892633,1.2332784437192528e-05,6
g9,Current,Order 2,0.6445908349240401,0.00011295002978890711,1
g9,Current,Order 4,0.7889457126467176,8.704004918001292e-05,2
g9,Current,Order 6,0.7969858517151152,8.536605089245385e-05,3
g9,Current,Tau 1,0.6445908349240401,0.00011295002978890711,1
g9,Current,Tau 0.1,-0.3864908666656448,0.00022309022672494959,3
g9,Current,Tau 0.01,-0.6072681296442226,0.00024019624011086514,4
g9,Active Power,Order 2,0.7498741200293979,0.08953627305908016,1
g9,Active Power,Order 4,0.8287313548092846,0.07408983529314044,2
g9,Active Power,Order 6,0.8504571909321434,0.06923129659388699,3
g9,Active Power,Tau 1,0.7498741200293979,0.08953627305908016,1
g9,Active Power,Tau 0.1,0.18264347945095516,0.16185475547151346,2
g9,Active Power,Tau 0.01,-0.9353476375306415,0.24905725174529733,4
g9,Reactive Power,Order 2,0.6718249581379434,0.015566658520253329,1
g9,Reactive Power,Order 4,0.758989807105571,0.01334013820914744,2
g9,Reactive Power,Order 6,0.7676405536187565,0.01309853697697075,3
g9,Reactive Power,Tau 1,0.8754241226275763,0.009590905263886278,3
g9,Reactive Power,Tau 0.1,-1.822297337053758,0.04565033899452826,4
g9,Reactive Power,Tau 0.01,-6.133823680701623,0.07257780165077599,6
g10,Voltage,Order 2,0.7469535495611563,1.2334508647956148e-05,1
g10,Voltage,Order 4,0.9700844630705221,4.241018139184862e-06,2
g10,Voltage,Order 6,0.9660115724608008,4.520508240376642e-06,2
g10,Voltage,Tau 1,0.7469535495611563,1.2334508647956148e-05,1
g10,Voltage,Tau 0.1,0.9787938525260937,3.5706938669844077e-06,3
g10,Voltage,Tau 0.01,0.9787938525260937,3.5706938669844077e-06,3
g10,Current,Order 2,0.7923132238790853,8.515355318695115e-05,1
g10,Current,Order 4,0.8434777752601498,7.392415313672785e-05,2
g10,Current,Order 6,0.49210506497358897,0.0001331635280459503,2
g10,Current,Tau 1,0.31479056489528323,0.0001546714009316947,2
g10,Current,Tau 0.1,-0.589848368564303,0.00023560049833486454,4
g10,Current,Tau 0.01,0.9994440881827038,4.405561873410107e-06,5
g10,Active Power,Order 2,0.8412635348283705,0.07625946266964681,1
g10,Active Power,Order 4,0.8934018007034809,0.06249284876294577,2
g10,Active Power,Order 6,-0.6516908712466474,0.24599131415574915,2
g10,Active Power,Tau 1,-0.5546976735368474,0.23865930013473177,1
g10,Active Power,Tau 0.1,-0.5546976735368474,0.23865930013473177,1
g10,Active Power,Tau 0.01,-0.5546976735368474,0.23865930013473177,1
g10,Reactive Power,Order 2,0.5801350380575474,0.05655001292323925,1
g10,Reactive Power,Order 4,0.8203775347987842,0.03698777590960758,2
g10,Reactive Power,Order 6,0.9787574636995596,0.01271982323593191,3
g10,Reactive Power,Tau 1,0.5801350380575474,0.05655001292323925,1
g10,Reactive Power,Tau 0.1,0.9938283139065262,0.006856142032518336,4
g10,Reactive Power,Tau 0.01,0.6260161372503339,0.053370875004290594,4
