"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
2.600000,1.026533,0.786936,190.381326,701.664436
2.610000,1.026616,0.786711,190.161460,701.569953
2.620000,1.026703,0.786477,189.935823,701.470861
2.630000,1.026793,0.786234,189.704683,701.367306
2.640000,1.026887,0.785983,189.468315,701.259448
2.650000,1.026984,0.785724,189.227004,701.147467
2.660000,1.027085,0.785456,188.981040,701.031555
2.670000,1.027188,0.785182,188.730723,700.911923
2.680000,1.027294,0.784901,188.476359,700.788792
2.690000,1.027403,0.784613,188.218258,700.662400
2.700000,1.027514,0.784320,187.956740,700.532996
2.710000,1.027628,0.784021,187.692128,700.400842
2.720000,1.027745,0.783717,187.424749,700.266212
2.730000,1.027863,0.783408,187.154936,700.129390
2.740000,1.027983,0.783096,186.883027,699.990671
2.750000,1.028105,0.782780,186.609361,699.850354
2.760000,1.028229,0.782461,186.334284,699.708750
2.770000,1.028354,0.782140,186.058139,699.566174
2.780000,1.028481,0.781818,185.781277,699.422945
2.790000,1.028609,0.781494,185.504044,699.279390
2.800000,1.028738,0.781169,185.226791,699.135833
2.810000,1.028867,0.780845,184.949866,698.992605
2.820000,1.028998,0.780521,184.673619,698.850035
2.830000,1.029128,0.780198,184.398395,698.708453
2.840000,1.029260,0.779877,184.124543,698.568186
2.850000,1.029391,0.779558,183.852405,698.429560
2.860000,1.029522,0.779241,183.582324,698.292897
2.870000,1.029654,0.778928,183.314639,698.158512
2.880000,1.029785,0.778619,183.049684,698.026712
2.890000,1.029915,0.778314,182.787792,697.897802
2.900000,1.030045,0.778014,182.529287,697.772079
2.910000,1.030174,0.777720,182.274491,697.649836
2.920000,1.030302,0.777431,182.023718,697.531354
2.930000,1.030429,0.777149,181.777280,697.416904
2.940000,1.030555,0.776873,181.535479,697.306747
2.950000,1.030680,0.776605,181.298614,697.201131
2.960000,1.030803,0.776344,181.066974,697.100291
2.970000,1.030924,0.776092,180.840842,697.004449
2.980000,1.031044,0.775847,180.620493,696.913815
2.990000,1.031161,0.775612,180.406192,696.828583
3.000000,1.031277,0.775386,180.198197,696.748932
3.010000,1.031390,0.775169,179.996756,696.675027
