"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
3.270000,0.976710,0.848519,273.754294,693.827958
3.280000,0.977950,0.846231,271.216512,693.678432
3.290000,0.979217,0.843885,268.650411,693.493379
3.300000,0.980509,0.841482,266.059160,693.271788
3.310000,0.981825,0.839025,263.445992,693.012810
3.320000,0.983163,0.836517,260.814167,692.715774
3.330000,0.984519,0.833962,258.166917,692.380311
3.340000,0.985893,0.831362,255.507510,692.006279
3.350000,0.987283,0.828720,252.839326,691.593743
3.360000,0.988685,0.826042,250.165808,691.142983
3.370000,0.990099,0.823329,247.490421,690.654504
3.380000,0.991521,0.820587,244.816607,690.129037
3.390000,0.992951,0.817819,242.147759,689.567552
3.400000,0.994386,0.815029,239.487273,688.971219
3.410000,0.995823,0.812223,236.838551,688.341425
3.420000,0.997261,0.809404,234.204970,687.679844
3.430000,0.998698,0.806577,231.589918,686.988322
3.440000,1.000132,0.803747,228.996746,686.268903
3.450000,1.001561,0.800918,226.428745,685.523827
3.460000,1.002982,0.798096,223.889131,684.755528
3.470000,1.004394,0.795286,221.380979,683.966605
3.480000,1.005795,0.792492,218.906919,683.159635
3.490000,1.007183,0.789718,216.469365,682.337333
3.500000,1.008557,0.786971,214.071019,681.502788
3.510000,1.009913,0.784255,211.714967,680.659398
3.520000,1.011252,0.781575,209.404072,679.810641
3.530000,1.012571,0.778936,207.140873,678.959867
3.540000,1.013870,0.776343,204.927939,678.110486
3.550000,1.015146,0.773800,202.767974,677.265712
3.560000,1.016399,0.771313,200.663232,676.429279
3.570000,1.017627,0.768886,198.616038,675.604798
3.580000,1.018829,0.766523,196.628556,674.795662
3.590000,1.020005,0.764228,194.702476,674.005304
3.600000,1.021152,0.762005,192.839182,673.237238
3.610000,1.022271,0.759859,191.040132,672.494893
3.620000,1.023361,0.757792,189.306708,671.781733
3.630000,1.024420,0.755809,187.640242,671.101126
3.640000,1.025449,0.753913,186.041967,670.456302
3.650000,1.026447,0.752107,184.512948,669.850317
3.660000,1.027414,0.750393,183.054109,669.286064
3.670000,1.028349,0.748775,181.666247,668.766268
3.680000,1.029251,0.747255,180.349969,668.293436
3.690000,1.030121,0.745834,179.105641,667.869825
3.700000,1.030958,0.744514,177.933623,667.497572
3.710000,1.031762,0.743298,176.834349,667.178707
3.720000,1.032533,0.742186,175.807982,666.914909
3.730000,1.033270,0.741180,174.854320,666.707455
3.740000,1.033974,0.740280,173.973269,666.557628
